,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Цьомик Володимир Якович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",Перший кандидат,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 24.07.1956 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""СПРАВЕДЛИВОСТІ ТА РОЗВИТКУ"", Чуднівська міська рада, Технік-програміст, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,
1,Вербельчук Галина Сергіївна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",8,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 14.11.1961 р., освіта вища, безпартійна, Чуднівська міська рада, секретар ради, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  46,5116"
2,Криворучек Олександр Леонідович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",3,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 13.08.1977 р., освіта професійно-технічна, безпартійний, Станційно-лінійна дільниця м.Чуднів, старший інженер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  41,3325"
3,П’ятецький Василь Васильович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",17,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 14.01.1963 р., освіта вища, безпартійний, Чуднівска філія ДП""Житомирський ЛГЗ"", головний інженер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  39,5812"
4,Самчук Наталія Іванівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",7,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 29.04.1978 р., освіта вища, безпартійна, ПП ""Чуднів-Фарма"", Генеральний директор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  32,0128"
5,Цозик Володимир Васильович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",14,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 27.11.1970 р., освіта вища, безпартійний, Чуднівське МКП, майстер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  31,7829"
6,Тарасюк Михайло Володимирович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",9,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 19.11.1955 р., освіта вища, безпартійний, Чуднівська ДЮСШ, директор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  31,0344"
7,Корчук Наталія Петрівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",15,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 08.07.1973 р., освіта вища, безпартійна, Чуднівська РДА, Начальник загального відділу, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  26,9663"
8,Соботович Галина Миколаївна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",12,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 28.06.1961 р., освіта професійно-технічна, безпартійна, Приватний підприємець, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  26,8817"
9,Лиманець Наталія Лівонівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",22,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 04.05.1970 р., освіта вища, безпартійна, Чуднівська РДА, головний спеціаліст загального відділу, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  26,2626"
10,Жміда Ольга Андріївна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",6,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 31.01.1973 р., освіта вища, безпартійна, Чуднівська ЦРЛ, лікар, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  24,0740"
11,Кіндрук Іван Васильович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",5,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 20.03.1972 р., освіта вища, безпартійний, Чуднівський РЕМ, директор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  23,5955"
12,Андрійчук Сергій Михайлович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",19,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 05.08.1968 р., освіта вища, безпартійний, пенсіонер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  22,2222"
13,Дешпетко Василь Леонідович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",18,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 10.04.1957 р., освіта професійно-технічна, безпартійний, Чуднівське міське комунальне підприємство з благоустрою, начальник Чуднівського МКП, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  21,2500"
14,Сусол Валентина Антонівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",13,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 27.10.1959 р., освіта вища, безпартійна, Чуднівська РДА, Головний спеціаліст відділу ЖКГ, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  21,1764"
15,Котюжинський Микола Петрович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",16,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 06.02.1968 р., освіта професійно-технічна, безпартійний, Чуднівска філія ДП""Житомирський ЛГЗ"", майстер бардоприймального відділення, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  20,9876"
16,Мудревська Леся Тарасівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",10,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 12.04.1961 р., освіта вища, безпартійна, ТОВ ""Терра Полісся"", інженер-землевпорядник, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  19,6429"
17,Носенко Тарас Миколайович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",11,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 11.01.1972 р., освіта професійно-технічна, безпартійний, приватний підприємець, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  19,5945"
18,Рудик Олександр Миколайович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",20,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 20.04.1967 р., освіта вища, безпартійний, пенсіонер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  18,1818"
19,Подолянець Катерина Михайлівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",2,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 12.06.1967 р., освіта вища, безпартійна, Чуднівська ЗОШ І-ІІІ ст. №2, вчитель, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  16,1016"
20,Менчинський Тарас Юрійович,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",21,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 04.11.1986 р., освіта професійно-технічна, безпартійний, приватний підприємець, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  15,3061"
21,Брайон Людмила Валентинівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",4,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 14.12.1974 р., освіта вища, безпартійна, Чуднівський районний будинок школяра, педагог організатор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  15,2941"
22,Момот Наталія Леонідівна,"Всеукраїнська Чорнобильська Народна Партія ""За добробут та соціальний захист народу""",1,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 11.08.1975 р., освіта професійно-технічна, безпартійна, Чуднівський ДНЗ №3 ""Веснянка"", вихователь, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  14,2857"
23,Гаврилюк Тетяна Леонідівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Перший кандидат,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 22.01.1981 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Відділ Держземагенства у Чуднівському районі, Головний спеціаліст, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,
24,Мельник Павло Андрійович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",4,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 28.11.1970 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  30,5882"
25,Журбій Ірина Леонідівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",19,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 04.09.1980 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, Нотаріус, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  26,9841"
26,Журбій Зоя Олександрівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",6,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 26.03.1981 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Чуднівська ЗОШ, вчитель, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  25,9259"
27,Тарасюк Анатолій Павлович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 01.10.1954 р., освіта вища, безпартійний, пенсіонер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  24,7619"
28,Данилюк Марина Володимирівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",10,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 09.05.1986 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  20,5357"
29,Перепелиця Наталя Миколаївна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 18.11.1975 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Чуднівський будинок культури, Керівник хореографічного гуртка, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  20,2702"
30,Олійник Сергій Олександрович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",5,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 04.06.1988 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Чуднівський РЕМ, Електромонтер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  20,2247"
31,Осіпова Світлана Миколаївна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",15,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 28.10.1974 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  20,2247"
32,Посний Максим Володимирович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",3,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 04.12.1990 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  20,0000"
33,Кушнір Віра Володимирівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",9,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 05.05.1987 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  19,8275"
34,Приходченко Олександр Васильович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",7,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 31.03.1959 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  16,2963"
35,Миронюк Олеся Миколаївна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",18,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 30.10.1984 р., освіта вища, безпартійна, тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  16,2500"
36,Омельчук Олександр Юрійович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",13,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 27.02.1958 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Районний будинок культури, директор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  14,1176"
37,Дерманська Вікторія Леонідівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",21,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 06.04.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Чуднівська селищна рада,спеціаліст, Землевпорядник, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  13,2653"
38,Волошина Ірина Дмитрівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 16.04.1973 р., освіта загальна середня, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Земельний відділ, Спеціаліст, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  12,5000"
39,Іванова Ірина Вікторівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 30.03.1981 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Банк ""Платінум"", Старший фінансовий консультант, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  12,4031"
40,Кравчук Анастасія Григорівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 06.09.1985 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ""ТОВ"" ВІВАТ -09, Секретар Керуючого, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  11,4583"
41,Карнович Олександр Володимирович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",16,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 17.10.1963 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  11,1111"
42,Журбій Тетяна Адольфівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",12,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 10.06.1981 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Чуднівське Відділення СК ""Княжа"", директор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"   8,6022"
43,Садловський Юрій Григорович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 22.08.1977 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"   8,5271"
44,Радушинський Валерій Едмундович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",2,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 29.01.1973 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Відділення ВД ФССНВ у Чуднівському Р-н., Головний спеціаліст По відшкодуванню шкоди потерпілим, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"   6,7796"
45,Федоровська Юлія Юріївна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",22,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 07.09.1990 р., освіта вища, безпартійна, тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"   2,1276"
46,Козачок Сергій Віталійович,"політична партія Всеукраїнське об’єднання ""Свобода""",Перший кандидат,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 17.03.1974 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", тимчасово не працює, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,
47,Головень Володимир Євгенійович,"політична партія Всеукраїнське об’єднання ""Свобода""",2,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 12.08.1960 р., освіта загальна середня, безпартійний, ФСГ Головень, директор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  12,7118"
48,Фещенко Олександр Володимирович,"політична партія Всеукраїнське об’єднання ""Свобода""",12,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 17.10.1963 р., освіта загальна середня, член політичної партії Всеукраїнське об’єднання ""Свобода"", Чуднівський комбікормовий завод, Слюсар монтажник, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  10,7526"
